analysis_scope,platform,content_type,topic_title,content_date,author_hash,text_for_sentiment,text_word_count,sentiment_label,sentiment_score,emotion_label,stance_label,topic_cluster,topic_matches,risk_flags,is_low_information,comment_like_count,post_like_count,post_comment_count,post_share_or_repost_count,post_view_count,url,source_file,sentiment_family
public_social_comment,Instagram,comment,Dari Hutan Sosial Menuju Ekonomi Karbon Berkeadilan,2025-11-18 09:42:40 +0000,user_a37c4a859f,apa ada fasilitas sertifikat kak ?,5,neutral_question,0,curiosity,question_or_information_seeking,Deforestasi & tata kelola hutan,Deforestasi & tata kelola hutan; Edukasi FOLU Net Sink 2030; Perhutanan sosial & ekonomi karbon; Pertanyaan publik,unanswered_question,False,0.0,411.0,,,,https://www.instagram.com/p/DRL11BkkT1X/,instagram_kemenhut_folu_talks_deep_comments.csv,neutral
public_social_comment,Instagram,comment,"Mencipta Karir, Menjaga Bumi: Kolaborasi Lintas Sektor dalam Penyiapan SDM Green Jobs Kehutanan",2025-11-09 04:27:03 +0000,user_b889b47ecb,Tetap semangat,2,positive,1,appreciation,supportive_or_appreciative,Deforestasi & tata kelola hutan,Deforestasi & tata kelola hutan; Dukungan & apresiasi; Pertanyaan publik,unanswered_question,False,0.0,969.0,,,,https://www.instagram.com/p/DQnqXKQkp6I/,instagram_kemenhut_folu_talks_deep_comments.csv,positive
public_social_comment,Instagram,comment,"Mencipta Karir, Menjaga Bumi: Kolaborasi Lintas Sektor dalam Penyiapan SDM Green Jobs Kehutanan",2025-11-04 08:46:12 +0000,user_f49c794116,"Akhirnya semangat kolaborasi, tapi semoga tulus dan terbuka.",8,positive,4,appreciation,supportive_or_appreciative,Deforestasi & tata kelola hutan,Deforestasi & tata kelola hutan; Dukungan & apresiasi; Pertanyaan publik,unanswered_question,False,0.0,969.0,,,,https://www.instagram.com/p/DQnqXKQkp6I/,instagram_kemenhut_folu_talks_deep_comments.csv,positive
public_social_comment,Instagram,comment,Kolaborasi Multipihak Menuju Indonesia’s FOLU Net Sink 2030 di Provinsi Riau,2025-10-17 03:59:58 +0000,user_4aca64d92e,Selesaikan secepat nya timpang tindih sertifikat hak milik dgn kawasan hutan,11,neutral,0,neutral,neutral_or_unclear,Konflik lahan & hutan lindung,Konflik lahan & hutan lindung; Deforestasi & tata kelola hutan; Edukasi FOLU Net Sink 2030; Perhutanan sosial & ekonomi karbon; Program lapangan & daerah,deforestation_criticism,False,0.0,287.0,,,,https://www.instagram.com/p/DP0DNlbkjqm/,instagram_kemenhut_folu_talks_deep_comments.csv,neutral
public_social_comment,Instagram,comment,Kolaborasi Multipihak Menuju Indonesia’s FOLU Net Sink 2030 di Provinsi Riau,2025-10-15 10:39:36 +0000,user_7eed8ff5c1,Salam Coll Tapak..sukses bu Kapus,6,positive,1,appreciation,supportive_or_appreciative,Edukasi FOLU Net Sink 2030,Edukasi FOLU Net Sink 2030; Program lapangan & daerah; Dukungan & apresiasi; Pertanyaan publik,unanswered_question,False,0.0,287.0,,,,https://www.instagram.com/p/DP0DNlbkjqm/,instagram_kemenhut_folu_talks_deep_comments.csv,positive
public_social_comment,Instagram,comment,Kolaborasi Bersama di Provinsi Kalimantan Barat untuk Mewujudkan Indonesia’s FOLU Net Sink 2030,2025-10-01 03:44:23 +0000,user_27b034f700,Ditunggu kehadirannya nanti siang semuanya 🙌🏻,5,positive,1,appreciation,supportive_or_appreciative,Edukasi FOLU Net Sink 2030,Edukasi FOLU Net Sink 2030,,False,2.0,485.0,,,,https://www.instagram.com/p/DPOeAmFEa_G/,instagram_kemenhut_folu_talks_deep_comments.csv,positive
public_social_comment,Instagram,comment,Peningkatan Cadangan Karbon Melalui Rehabilitasi Hutan dan Lahan Berbasis Masyarakat di Provinsi Kalimantan Selatan,2025-09-17 10:47:08 +0000,user_8250604535,Kapan untuk Bengkalis Riau ?,4,neutral_question,0,curiosity,question_or_information_seeking,Konflik lahan & hutan lindung,Konflik lahan & hutan lindung; Deforestasi & tata kelola hutan; Edukasi FOLU Net Sink 2030; Perhutanan sosial & ekonomi karbon; Program lapangan & daerah; Pertanyaan publik,conflict_land_tenure; unanswered_question,False,1.0,827.0,,,,https://www.instagram.com/p/DOsGpJXEVLL/,instagram_kemenhut_folu_talks_deep_comments.csv,neutral
public_social_comment,Instagram,comment,Peningkatan Cadangan Karbon Melalui Rehabilitasi Hutan dan Lahan Berbasis Masyarakat di Provinsi Kalimantan Selatan,2025-09-17 05:26:39 +0000,user_69b298d273,Apakah pameran di lapangan banteng masih berlangsung?,7,neutral_question,0,curiosity,question_or_information_seeking,Konflik lahan & hutan lindung,Konflik lahan & hutan lindung; Deforestasi & tata kelola hutan; Edukasi FOLU Net Sink 2030; Perhutanan sosial & ekonomi karbon; Pertanyaan publik,conflict_land_tenure; unanswered_question,False,1.0,827.0,,,,https://www.instagram.com/p/DOsGpJXEVLL/,instagram_kemenhut_folu_talks_deep_comments.csv,neutral
public_social_comment,Instagram,comment,"Brew the Future: Kopi, Iklim, dan Aksi Anak Muda",2025-08-19 12:44:55 +0000,user_b1e73dc5b7,Gmn cara klik link zoom ya kak?,7,neutral_question,0,curiosity,question_or_information_seeking,Perubahan iklim & emisi,Perubahan iklim & emisi; Program lapangan & daerah; Pertanyaan publik,unanswered_question,False,1.0,767.0,,,,https://www.instagram.com/p/DNiOb_2RBW1/,instagram_kemenhut_folu_talks_deep_comments.csv,neutral
public_social_comment,Instagram,comment,"Brew the Future: Kopi, Iklim, dan Aksi Anak Muda",2025-08-19 15:24:19 +0000,user_a459483c02,Maaf gimana caranya daftar,4,neutral_question,0,curiosity,question_or_information_seeking,Perubahan iklim & emisi,Perubahan iklim & emisi; Program lapangan & daerah; Pertanyaan publik,unanswered_question,False,0.0,767.0,,,,https://www.instagram.com/p/DNiOb_2RBW1/,instagram_kemenhut_folu_talks_deep_comments.csv,neutral
public_social_comment,Instagram,comment,Youth Act: Forest Fire Control,2025-12-05 00:31:56 +0000,user_27f6241d18,"Agro forestri, paru2 sehat, lahan subur bebas dari ancaman bencana",10,negative,-1,concern,critical_or_concern,Konflik lahan & hutan lindung,Konflik lahan & hutan lindung; Perubahan iklim & emisi,conflict_land_tenure; climate_impact_concern,False,0.0,788.0,,,,https://www.instagram.com/p/DM7UqqPvdw6/,instagram_kemenhut_folu_talks_deep_comments.csv,negative
public_social_comment,Instagram,comment,Youth Act: Forest Fire Control,2025-12-04 10:15:52 +0000,user_7730bd2e63,Mantap semoga sukses kedepannya,4,positive,2,appreciation,supportive_or_appreciative,Dukungan & apresiasi,Dukungan & apresiasi,,False,0.0,788.0,,,,https://www.instagram.com/p/DM7UqqPvdw6/,instagram_kemenhut_folu_talks_deep_comments.csv,positive
public_social_comment,Instagram,comment,Youth Act: Forest Fire Control,2025-08-09 09:19:35 +0000,user_b2ed590fa3,"Hutan hijau langit biru, gambut aman bernapas nyaman🌿🌲🌳",8,positive,1,appreciation,supportive_or_appreciative,Deforestasi & tata kelola hutan,Deforestasi & tata kelola hutan; Pertanyaan publik,unanswered_question,False,0.0,788.0,,,,https://www.instagram.com/p/DM7UqqPvdw6/,instagram_kemenhut_folu_talks_deep_comments.csv,positive
public_social_comment,Instagram,comment,Youth Act: Forest Fire Control,2025-08-04 11:42:53 +0000,user_6c9a0bed6a,semangat pejuang langit biru🔥,4,positive,1,appreciation,supportive_or_appreciative,Dukungan & apresiasi,Dukungan & apresiasi,,False,1.0,788.0,,,,https://www.instagram.com/p/DM7UqqPvdw6/,instagram_kemenhut_folu_talks_deep_comments.csv,positive
public_social_comment,Instagram,comment,Youth Act: Forest Fire Control,2025-08-04 11:28:51 +0000,user_412173a140,Keren banget....👏👏👏🔥,2,positive,1,appreciation,supportive_or_appreciative,Dukungan & apresiasi,Dukungan & apresiasi,,False,1.0,788.0,,,,https://www.instagram.com/p/DM7UqqPvdw6/,instagram_kemenhut_folu_talks_deep_comments.csv,positive
public_social_comment,Instagram,comment,Youth Act: Forest Fire Control,2025-08-04 11:13:44 +0000,user_f05a1c8004,Menyalah abangku....🔥🔥,2,neutral,0,neutral,neutral_or_unclear,General/unclear,General/unclear,,False,2.0,788.0,,,,https://www.instagram.com/p/DM7UqqPvdw6/,instagram_kemenhut_folu_talks_deep_comments.csv,neutral
public_social_comment,Instagram,comment,Kolaborasi Multipihak dalam Implementasi Voluntary Carbon Market di Sektor Kehutanan,2025-07-23 01:38:03 +0000,user_c55701ec78,"Min, ga semua provinsi boleh ikut ya min..?",8,neutral_question,0,curiosity,question_or_information_seeking,Deforestasi & tata kelola hutan,Deforestasi & tata kelola hutan; Edukasi FOLU Net Sink 2030; Pertanyaan publik,unanswered_question,False,0.0,547.0,,,,https://www.instagram.com/p/DMZJ4AFvljI/,instagram_kemenhut_folu_talks_deep_comments.csv,neutral
